Serial Number,Category,State/UT,Year,Crime Count,Population (in lakhs),Crime Rate
5,State,Chhattisgarh,2010,54958,245.38,223.9709838
31,Union Territory,D & N Haveli,2010,378,2.83,133.5689046
32,Union Territory,Daman & Diu,2010,203,2,101.5
33,Union Territory,Delhi,2010,51292,183.33,279.7796324
6,State,Goa,2010,3293,17.43,188.9271371
7,State,Gujarat,2010,116439,581.93,200.0910762
8,State,Haryana,2010,59120,245.9,240.4229362
9,State,Himachal Pradesh,2010,13049,66.87,195.1398235
10,State,Jammu & Kashmir,2010,23223,133.64,173.7728225
11,State,Jharkhand,2010,38889,309.37,125.7038498
12,State,Karnataka,2010,142322,587.99,242.0483342
13,State,Kerala,2010,148313,349.72,424.0907011
33,Union Territory,Lakshadweep,2010,42,0.72,58.33333333
14,State,Madhya Pradesh,2010,214269,721.06,297.1583502
15,State,Maharashtra,2010,208168,1100.49,189.1593745
16,State,Manipur,2010,2715,27.02,100.4811251
17,State,Meghalaya,2010,2505,26.09,96.01379839
18,State,Mizoram,2010,2174,10.08,215.6746032
19,State,Nagaland,2010,1059,22.5,47.06666667
20,State,Odisha,2010,56459,408.28,138.2850005
34,Union Territory,Puducherry,2010,3935,11.17,352.2829006
21,State,Punjab,2010,36648,272.68,134.3992959
22,State,Rajasthan,2010,162957,671.06,242.8352159
23,State,Sikkim,2010,552,6.1,90.49180328
24,State,Tamil Nadu,2010,185678,676.32,274.5416371
25,State,Tripura,2010,5805,36.1,160.8033241
26,State,Uttar Pradesh,2010,174179,1990.28,87.51482204
27,State,Uttarakhand,2010,9240,98.17,94.12244066
28,State,West Bengal,2010,129616,902.22,143.663408
29,Union Territory,A & N Islands,2011,793,3.8,208.6842105
1,State,Andhra Pradesh,2011,189780,846.65,224.1540188
2,State,Arunachal Pradesh,2011,2286,13.83,165.2928416
3,State,Assam,2011,66714,311.69,214.0395906
4,State,Bihar,2011,135896,1038.04,130.915957
30,Union Territory,Chandigarh,2011,3542,10.55,335.7345972
5,State,Chhattisgarh,2011,57218,255.4,224.0328896
31,Union Territory,D & N Haveli,2011,372,3.43,108.4548105
32,Union Territory,Daman & Diu,2011,224,2.43,92.18106996
33,Union Territory,Delhi,2011,53353,167.53,318.468334
6,State,Goa,2011,3449,14.58,236.5569273
7,State,Gujarat,2011,123371,603.83,204.3141281
8,State,Haryana,2011,60741,253.53,239.5811147
9,State,Himachal Pradesh,2011,14312,68.57,208.721015
10,State,Jammu & Kashmir,2011,24504,125.49,195.2665551
11,State,Jharkhand,2011,35838,329.66,108.7120063
12,State,Karnataka,2011,137600,611.31,225.0903797
13,State,Kerala,2011,172137,333.88,515.5654726
33,Union Territory,Lakshadweep,2011,44,0.64,68.75
14,State,Madhya Pradesh,2011,217094,725.98,299.0357861
15,State,Maharashtra,2011,204902,1123.73,182.3409538
16,State,Manipur,2011,3218,27.22,118.2218957
17,State,Meghalaya,2011,2755,29.64,92.94871795
18,State,Mizoram,2011,1821,10.91,166.9110907
19,State,Nagaland,2011,1083,19.81,54.66935891
20,State,Odisha,2011,61277,419.47,146.0819606
34,Union Territory,Puducherry,2011,4362,12.44,350.6430868
21,State,Punjab,2011,34883,277.04,125.9132255
22,State,Rajasthan,2011,165622,686.21,241.3576019
23,State,Sikkim,2011,596,6.08,98.02631579
24,State,Tamil Nadu,2011,192879,721.39,267.3713248
25,State,Tripura,2011,5803,36.71,158.0768183
26,State,Uttar Pradesh,2011,195135,1995.81,97.77233304
27,State,Uttarakhand,2011,8774,101.17,86.72531383
28,State,West Bengal,2011,143197,913.48,156.7598634
29,Union Territory,A & N Islands,2012,683,5.12,133.3984375
1,State,Andhra Pradesh,2012,192522,857.44,224.5311625
2,State,Arunachal Pradesh,2012,2420,12.6,192.0634921
3,State,Assam,2012,77682,310.71,250.014483
4,State,Bihar,2012,146614,994.57,147.4144605
30,Union Territory,Chandigarh,2012,3606,15.32,235.3785901
5,State,Chhattisgarh,2012,54598,246.95,221.0892893
31,Union Territory,D & N Haveli,2012,318,3.76,84.57446809
32,Union Territory,Daman & Diu,2012,239,2.85,83.85964912
33,Union Territory,Delhi,2012,54287,191.64,283.275934
6,State,Goa,2012,3608,18.34,196.7284624
7,State,Gujarat,2012,130121,600.62,216.6444674
8,State,Haryana,2012,62480,259.94,240.3631607
9,State,Himachal Pradesh,2012,12557,68.78,182.5676069
10,State,Jammu & Kashmir,2012,24608,119.14,206.5469196
11,State,Jharkhand,2012,40946,320.5,127.7566303
12,State,Karnataka,2012,134021,602.29,222.5190523
13,State,Kerala,2012,158989,348.82,455.7909524
33,Union Territory,Lakshadweep,2012,60,0.77,77.92207792
14,State,Madhya Pradesh,2012,220335,737.3,298.8403635
15,State,Maharashtra,2012,202700,1146.97,176.7265055
16,State,Manipur,2012,3737,24.87,150.2613591
17,State,Meghalaya,2012,2557,26.61,96.09169485
18,State,Mizoram,2012,1766,10.2,173.1372549
19,State,Nagaland,2012,1090,22.84,47.72329247
20,State,Odisha,2012,67957,412.24,164.8481467
34,Union Territory,Puducherry,2012,4281,14.71,291.0265126
21,State,Punjab,2012,35790,280.83,127.4436492
22,State,Rajasthan,2012,170948,692.49,246.8598825
23,State,Sikkim,2012,528,6.22,84.88745981
24,State,Tamil Nadu,2012,200474,680.02,294.8060351
25,State,Tripura,2012,6264,36.72,170.5882353
26,State,Uttar Pradesh,2012,198093,2054.26,96.43034475
27,State,Uttarakhand,2012,8882,101.31,87.67150331
28,State,West Bengal,2012,161427,905.95,178.1853303
29,Union Territory,A & N Islands,2013,612,5.25,116.5714286
1,State,Andhra Pradesh,2013,218015,864.76,252.1104121
2,State,Arunachal Pradesh,2013,2776,12.74,217.8963893
3,State,Assam,2013,87186,314.45,277.265066
4,State,Bihar,2013,167455,1007.15,166.2661967
30,Union Territory,Chandigarh,2013,4077,16.05,254.0186916
5,State,Chhattisgarh,2013,56870,250.18,227.3163322
31,Union Territory,D & N Haveli,2013,314,3.92,80.10204082
32,Union Territory,Daman & Diu,2013,246,2.97,82.82828283
33,Union Territory,Delhi,2013,80184,197.14,406.7363295
6,State,Goa,2013,4312,18.85,228.7533156
7,State,Gujarat,2013,157435,608.28,258.8199513
8,State,Haryana,2013,72098,264.05,273.0467714
9,State,Himachal Pradesh,2013,13750,69.39,198.1553538
10,State,Jammu & Kashmir,2013,25390,120.59,210.5481383
11,State,Jharkhand,2013,48208,324.79,148.4282152
12,State,Karnataka,2013,136689,608.24,224.7287255
13,State,Kerala,2013,176334,351.11,502.2186779
34,Union Territory,Lakshadweep,2013,40,0.78,51.28205128
14,State,Madhya Pradesh,2013,227453,748.65,303.8175382
15,State,Maharashtra,2013,234385,1162.06,201.6978469
16,State,Manipur,2013,3178,25.16,126.3116057
17,State,Meghalaya,2013,3259,26.92,121.0624071
18,State,Mizoram,2013,1709,10.32,165.6007752
19,State,Nagaland,2013,1216,23.1,52.64069264
20,State,Odisha,2013,71718,415.69,172.5276047
35,Union Territory,Puducherry,2013,3756,15.34,244.8500652
21,State,Punjab,2013,36667,283.79,129.2046936
22,State,Rajasthan,2013,196224,702.93,279.1515514
23,State,Sikkim,2013,851,6.29,135.2941176
24,State,Tamil Nadu,2013,203579,683.99,297.6344683
25,State,Tripura,2013,6210,37.14,167.2051696
26,State,Uttar Pradesh,2013,226445,2089.15,108.3909724
27,State,Uttarakhand,2013,9546,102.71,92.94129101
28,State,West Bengal,2013,169535,913.92,185.5031075
29,Union Territory,A & N Islands,2014,746,5.4,138.1481481
1,State,Andhra Pradesh,2014,221434,871.9,253.9671981
2,State,Arunachal Pradesh,2014,2843,12.9,220.3875969
3,State,Assam,2014,94337,318.2,296.4707731
4,State,Bihar,2014,177595,1019.4,174.2152246
30,Union Territory,Chandigarh,2014,3221,16.8,191.7261905
5,State,Chhattisgarh,2014,58200,253.4,229.6764009
31,Union Territory,D & N Haveli,2014,277,4.1,67.56097561
32,Union Territory,Daman & Diu,2014,233,3.1,75.16129032
33,Union Territory,Delhi,2014,155654,202.8,767.5246548
6,State,Goa,2014,4466,19.3,231.3989637
7,State,Gujarat,2014,131385,615.9,213.3219679
8,State,Haryana,2014,79947,268.1,298.1984334
9,State,Himachal Pradesh,2014,14160,70,202.2857143
