STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
MIZORAM,2008,35,10,77,9,4,6,747,118,1989
NAGALAND,2008,143,47,19,44,6,87,345,46,1202
ODISHA,2008,1250,1415,1113,908,305,1345,7419,7013,56755
PUNJAB,2008,769,956,517,718,40,167,5563,5597,35314
RAJASTHAN,2008,1297,1649,1355,2358,64,829,20411,21117,151174
SIKKIM,2008,9,7,20,4,1,7,127,100,730
TAMIL NADU,2008,1759,2327,573,1375,100,662,15019,20529,176833
TRIPURA,2008,155,53,204,146,13,95,499,924,5336
UTTAR PRADESH,2008,4564,4233,1871,5428,313,2097,25946,11683,168996
UTTARAKHAND,2008,223,217,87,247,16,144,1622,937,8856
WEST BENGAL,2008,1811,1732,2263,2332,184,613,17334,9033,105419
A & N ISLANDS,2008,8,11,12,17,0,14,128,107,882
CHANDIGARH,2008,17,28,20,50,1,23,1991,73,3931
D & N HAVELI,2008,9,2,6,17,1,0,54,26,401
DAMAN & DIU,2008,2,2,0,4,2,4,49,12,248
LAKSHADWEEP,2008,1,0,2,1,0,0,8,12,95
PUDUCHERRY,2008,35,35,8,17,10,10,688,873,4989
ANDHRA PRADESH,2009,2449,1859,1188,1958,102,544,24692,44488,180441
ARUNACHAL PRADESH,2009,59,33,59,62,20,55,381,526,2362
ASSAM,2009,1323,417,1631,2718,251,680,7644,6547,55313
BIHAR,2009,3152,3068,929,3222,654,1619,15221,14746,122931
CHHATTISGARH,2009,1083,732,976,286,134,554,5792,9543,51370
GOA,2009,53,24,47,33,4,30,858,191,3005
GUJARAT,2009,1020,468,433,1348,246,1420,19669,9456,115183
HARYANA,2009,948,690,603,916,153,679,12917,3977,56229
HIMACHAL PRADESH,2009,125,73,183,150,4,21,823,1230,13315
JAMMU & KASHMIR,2009,237,547,237,873,1,69,2631,331,21975
JHARKHAND,2009,1636,1274,719,827,412,780,7716,4132,37436
KARNATAKA,2009,1702,1607,509,892,273,1825,20576,20105,134042
KERALA,2009,343,408,568,256,112,830,5564,18274,118369
MADHYA PRADESH,2009,2386,2212,2998,1036,117,2270,23260,37132,207762
MAHARASHTRA,2009,2653,1880,1483,1286,780,3314,50930,28326,199598
MANIPUR,2009,131,478,31,159,1,3,394,224,2852
MEGHALAYA,2009,128,39,112,56,64,67,545,207,2448
MIZORAM,2009,31,14,83,9,2,4,761,120,2047
NAGALAND,2009,46,35,22,52,8,92,347,38,1059
ODISHA,2009,1250,1231,1023,930,380,1488,7136,6816,55740
PUNJAB,2009,853,1014,511,692,38,171,5624,5498,35545
RAJASTHAN,2009,1395,1673,1519,2870,53,886,22144,21652,166565
SIKKIM,2009,19,7,18,6,0,4,62,91,669
TAMIL NADU,2009,1776,2325,596,1372,97,1144,15712,18147,174691
TRIPURA,2009,133,59,190,121,7,77,415,1047,5486
UTTAR PRADESH,2009,4534,4141,1759,6083,365,2285,29226,10934,172884
UTTARAKHAND,2009,195,185,111,275,35,179,1601,1198,8802
WEST BENGAL,2009,2068,2119,2336,2750,214,751,17133,11196,113036
A & N ISLANDS,2009,15,4,18,16,0,11,134,89,941
CHANDIGARH,2009,22,18,29,40,4,27,1731,63,3555
D & N HAVELI,2009,10,5,4,12,9,2,63,23,442
DAMAN & DIU,2009,5,4,1,0,0,4,41,14,276
LAKSHADWEEP,2009,0,1,1,0,3,0,10,14,134
PUDUCHERRY,2009,37,25,1,18,7,9,711,901,4591
ANDHRA PRADESH,2010,2538,1953,1362,2053,134,550,26756,46777,181438
ARUNACHAL PRADESH,2010,75,34,47,67,15,69,445,439,2439
ASSAM,2010,1223,431,1721,3250,248,662,7860,5744,61668
BIHAR,2010,3362,2915,795,3674,644,1538,15544,15328,127453
CHHATTISGARH,2010,1065,756,1012,359,122,552,5805,10188,54958
GOA,2010,35,27,36,25,2,39,1034,177,3293
GUJARAT,2010,1048,462,408,1447,186,1384,16794,10131,116439
HARYANA,2010,1005,836,720,963,147,734,16266,3733,59120
HIMACHAL PRADESH,2010,132,74,160,194,2,11,838,1374,13049
JAMMU & KASHMIR,2010,217,711,245,896,6,61,2510,278,23223
JHARKHAND,2010,1689,1028,773,978,335,709,7090,4271,38889
KARNATAKA,2010,1805,1850,586,1374,272,1949,20093,21835,142322
KERALA,2010,363,361,634,261,74,636,4380,18532,148313
MADHYA PRADESH,2010,2423,2277,3135,1187,110,1919,21577,39193,214269
MAHARASHTRA,2010,2744,1926,1599,1508,778,3721,52565,29696,208168
MANIPUR,2010,92,258,34,199,0,2,417,227,2715
MEGHALAYA,2010,134,60,149,71,42,67,664,154,2505
MIZORAM,2010,48,27,92,9,3,16,823,116,2174
NAGALAND,2010,45,35,16,50,3,63,397,36,1059
ODISHA,2010,1308,1436,1025,1016,346,1491,7572,7181,56459
PUNJAB,2010,907,994,546,789,65,241,5446,4873,36648
RAJASTHAN,2010,1421,1557,1571,2985,37,872,22324,19247,162957
SIKKIM,2010,17,6,18,6,1,7,53,73,552
TAMIL NADU,2010,1875,2641,686,1720,85,1817,14583,21309,185678
TRIPURA,2010,150,63,238,114,16,65,457,1136,5805
UTTAR PRADESH,2010,4401,4004,1563,6321,337,2577,31153,10336,174179
UTTARAKHAND,2010,176,219,121,286,12,162,2138,974,9240
WEST BENGAL,2010,2398,2111,2311,3345,288,798,19389,12764,129616
A & N ISLANDS,2010,9,7,24,10,1,7,121,80,980
CHANDIGARH,2010,21,30,31,38,5,67,1481,65,3373
D & N HAVELI,2010,6,0,3,18,2,3,63,11,378
DAMAN & DIU,2010,5,2,1,2,6,0,47,12,203
LAKSHADWEEP,2010,0,0,0,0,0,0,5,1,42
PUDUCHERRY,2010,33,19,3,17,2,5,534,806,3935
ANDHRA PRADESH,2011,2808,2229,1442,2154,126,600,28267,54452,189780
ARUNACHAL PRADESH,2011,65,29,42,93,13,64,414,379,2286
ASSAM,2011,1303,504,1700,3764,305,837,8309,6306,66714
BIHAR,2011,3198,3327,934,4268,556,1381,16292,19391,135896
CHHATTISGARH,2011,1110,747,1053,472,68,470,5315,11105,57218
GOA,2011,48,22,29,28,2,26,1115,215,3449
GUJARAT,2011,1126,478,439,1614,221,1368,16043,10159,123371
HARYANA,2011,1062,851,733,959,167,638,17425,3423,60741
HIMACHAL PRADESH,2011,130,50,168,212,1,10,1042,1251,14312
JAMMU & KASHMIR,2011,169,494,277,1077,14,88,2655,246,24504
JHARKHAND,2011,1747,718,784,941,309,614,6378,4403,35838
KARNATAKA,2011,1820,1837,636,1395,214,2123,19834,21295,137600
KERALA,2011,365,521,1132,299,71,741,4704,21747,172137
MADHYA PRADESH,2011,2511,2340,3406,1288,118,1952,22414,35711,217094
MAHARASHTRA,2011,2818,2105,1701,1669,773,4249,53449,29769,204902
MANIPUR,2011,78,245,53,169,1,7,719,292,3218
MEGHALAYA,2011,170,51,130,87,49,63,696,197,2755
MIZORAM,2011,26,24,77,6,1,6,734,97,1821
NAGALAND,2011,46,43,23,34,7,59,360,55,1083
ODISHA,2011,1477,1621,1112,1139,417,1583,8724,7894,61277
PUNJAB,2011,842,997,479,681,28,236,4784,4757,34883
RAJASTHAN,2011,1461,1566,1800,3204,28,727,21099,17977,165622
SIKKIM,2011,14,7,16,10,0,5,72,75,596
TAMIL NADU,2011,1877,2962,677,1984,101,2066,13924,21167,192879
TRIPURA,2011,163,75,205,154,11,50,494,1340,5803
UTTAR PRADESH,2011,4951,4653,2042,8500,379,3148,36683,12234,195135
UTTARAKHAND,2011,178,189,129,314,13,179,2093,852,8774
WEST BENGAL,2011,2109,2242,2363,4285,236,760,21446,13094,143197
A & N ISLANDS,2011,14,6,13,15,1,1,88,81,793
CHANDIGARH,2011,24,40,27,58,6,68,1502,45,3542
D & N HAVELI,2011,14,2,4,9,7,2,69,25,372
DAMAN & DIU,2011,6,1,1,3,4,6,47,11,224
LAKSHADWEEP,2011,0,1,0,0,0,0,4,3,44
PUDUCHERRY,2011,32,22,7,12,5,11,707,853,4362
ANDHRA PRADESH,2012,2717,2183,1341,1870,131,668,27475,56768,192522
ARUNACHAL PRADESH,2012,73,29,46,82,20,65,402,438,2420
ASSAM,2012,1368,670,1716,3812,266,907,9394,6676,77682
BIHAR,2012,3566,5452,927,4807,540,1266,17667,45827,146614
CHHATTISGARH,2012,998,593,1034,450,64,412,5341,10855,54598
GOA,2012,45,35,55,24,6,25,915,266,3608
GUJARAT,2012,1126,557,473,1720,287,1366,15952,10234,130121
HARYANA,2012,991,910,668,1349,204,711,17590,3277,62480
HIMACHAL PRADESH,2012,113,53,183,172,1,10,769,1173,12557
JAMMU & KASHMIR,2012,124,511,303,1093,6,81,2022,322,24608
JHARKHAND,2012,1694,842,812,1056,284,494,6680,4785,40946
KARNATAKA,2012,1860,1923,621,1451,211,2207,18418,20350,134021
KERALA,2012,374,497,1019,281,72,725,4078,21170,158989
MADHYA PRADESH,2012,2373,2332,3425,1302,107,1940,23182,35549,220335
MAHARASHTRA,2012,2712,2168,1839,1583,793,6949,47476,28392,202700
MANIPUR,2012,83,409,63,223,8,3,903,285,3737
MEGHALAYA,2012,137,63,164,92,52,46,543,157,2557
MIZORAM,2012,30,21,103,8,2,4,605,103,1766
NAGALAND,2012,75,42,21,27,1,54,381,30,1090
ODISHA,2012,1548,1879,1458,1542,402,1613,9630,8223,67957
PUNJAB,2012,855,1045,680,919,48,213,5272,4186,35790
RAJASTHAN,2012,1461,1538,2049,3243,31,807,23314,17614,170948
SIKKIM,2012,7,7,34,10,0,6,117,91,528
TAMIL NADU,2012,1949,2954,737,1945,97,1898,11996,22100,200474
TRIPURA,2012,124,79,229,139,7,60,565,1504,6264
UTTAR PRADESH,2012,4966,4811,1963,8878,322,3159,37376,12290,198093
UTTARAKHAND,2012,217,161,148,297,29,144,1913,1022,8882
WEST BENGAL,2012,2252,2854,2046,5117,279,816,22991,15923,161427
A & N ISLANDS,2012,15,3,12,8,5,2,71,62,683
CHANDIGARH,2012,21,44,27,87,3,63,1549,42,3606
D & N HAVELI,2012,7,2,3,13,2,2,68,25,318
DAMAN & DIU,2012,3,5,5,3,1,3,55,17,239
LAKSHADWEEP,2012,0,0,0,0,0,0,7,3,60
PUDUCHERRY,2012,29,27,13,19,5,16,658,818,4281
